Location,Lat,Lon,Count
"(34.1451, -118.3958)",34.1451,-118.3958,11
"(34.1456, -118.396)",34.1456,-118.396,12
"(34.1434, -118.3978)",34.1434,-118.3978,8
"(34.1869, -118.3987)",34.1869,-118.3987,23
"(34.1613, -118.4008)",34.1613,-118.4008,13
"(34.175, -118.3779)",34.175,-118.3779,1
"(34.1339, -118.3744)",34.1339,-118.3744,28
"(34.1867, -118.3943)",34.1867,-118.3943,3
"(34.1751, -118.3943)",34.1751,-118.3943,13
"(34.1325, -118.3974)",34.1325,-118.3974,55
"(34.1866, -118.4063)",34.1866,-118.4063,5
"(34.1576, -118.3943)",34.1576,-118.3943,6
"(34.1867, -118.4159)",34.1867,-118.4159,6
"(34.194, -118.3637)",34.194,-118.3637,25
"(34.1794, -118.3692)",34.1794,-118.3692,4
"(34.1649, -118.3571)",34.1649,-118.3571,1
"(34.1448, -118.3384)",34.1448,-118.3384,13
"(34.1504, -118.4008)",34.1504,-118.4008,9
"(34.1758, -118.3643)",34.1758,-118.3643,19
"(34.1291, -118.3467)",34.1291,-118.3467,6
"(34.1377, -118.3629)",34.1377,-118.3629,4
"(34.1867, -118.3997)",34.1867,-118.3997,13
"(34.1867, -118.3747)",34.1867,-118.3747,9
"(34.1577, -118.39)",34.1577,-118.39,2
"(34.1904, -118.4127)",34.1904,-118.4127,3
"(34.2012, -118.3779)",34.2012,-118.3779,7
"(34.1766, -118.3817)",34.1766,-118.3817,13
"(34.2049, -118.3878)",34.2049,-118.3878,29
"(34.1649, -118.3922)",34.1649,-118.3922,11
"(34.1577, -118.3774)",34.1577,-118.3774,7
"(34.1813, -118.3768)",34.1813,-118.3768,3
"(34.2079, -118.4121)",34.2079,-118.4121,1
"(34.1849, -118.3834)",34.1849,-118.3834,30
"(34.2012, -118.3834)",34.2012,-118.3834,22
"(34.1885, -118.3998)",34.1885,-118.3998,3
"(34.1734, -118.3752)",34.1734,-118.3752,2
"(34.1794, -118.3637)",34.1794,-118.3637,6
"(34.194, -118.3943)",34.194,-118.3943,16
"(34.174, -118.3844)",34.174,-118.3844,1
"(34.1867, -118.3996)",34.1867,-118.3996,32
"(34.1649, -118.3992)",34.1649,-118.3992,9
"(34.1794, -118.4031)",34.1794,-118.4031,9
"(34.1446, -118.3409)",34.1446,-118.3409,30
"(34.1567, -118.3702)",34.1567,-118.3702,8
"(34.1522, -118.379)",34.1522,-118.379,5
"(34.1667, -118.3702)",34.1667,-118.3702,14
"(34.2079, -118.421)",34.2079,-118.421,15
"(34.1774, -118.363)",34.1774,-118.363,1
"(34.1794, -118.3834)",34.1794,-118.3834,36
"(34.1794, -118.3953)",34.1794,-118.3953,6
"(34.1577, -118.3746)",34.1577,-118.3746,7
"(34.1722, -118.3921)",34.1722,-118.3921,6
"(34.1976, -118.4094)",34.1976,-118.4094,7
"(34.1249, -118.3775)",34.1249,-118.3775,12
"(34.1533, -118.4138)",34.1533,-118.4138,2
"(34.1576, -118.379)",34.1576,-118.379,34
"(34.194, -118.4214)",34.194,-118.4214,17
"(34.1219, -118.3869)",34.1219,-118.3869,2
"(34.2014, -118.3965)",34.2014,-118.3965,22
"(34.2085, -118.4052)",34.2085,-118.4052,7
"(34.135, -118.4137)",34.135,-118.4137,4
"(34.1315, -118.3811)",34.1315,-118.3811,10
